Interessado,UF,Tipo de interessado,Tipo de operação,Finalidade,Tipo de credor,Credor,Moeda,Valor,Número do Processo/PVL,Código IBGE,Status,Ano,Mes,Dia
Cruzeiro da Fortaleza,MG,Município,Operação Contratual Interna,Multissetorial,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,1400000.0,PVL02.002804/2023-28,3120706.0,Em Análise,2023,7,28
Cruzeiro do Sul,AC,Município,Operação Contratual Interna,PNAFM,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3400000.0,PVL02.004178/2023-12,1200203.0,Em Análise,2024,5,2
Cunha Porã,SC,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1500000.0,17944.101671/2020-91,4204707.0,Em Análise,2020,4,14
Divino,MG,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1150000.0,17944.100768/2020-87,3122009.0,Em Análise,2020,5,25
Divinópolis,MG,Município,Operação Contratual Interna,Aporte de capital,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1000000.0,PVL02.001135/2020-24,3122306.0,Em Análise,2020,9,8
Dourado,SP,Município,Operação Contratual Interna,"Aquisição de terrenos, imóveis e/ou construção de instalações",Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,1281281.21,PVL02.002929/2018-91,3514304.0,Em Análise,2018,12,27
Douradoquara,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1100000.0,PVL02.003805/2023-90,3123502.0,Em Análise,2023,12,4
Entre Rios do Sul,RS,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3230000.0,17944.102846/2020-88,4306957.0,Em Análise,2020,9,11
Espírito Santo,RN,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,10000000.0,PVL02.004245/2023-91,2403509.0,Em Análise,2024,1,31
Estiva Gerbi,SP,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Agência de Fomento do Estado de São Paulo,Real,665000.0,PVL02.001967/2023-93,3557303.0,Em Análise,2023,9,20
Eugenópolis,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,1500000.0,PVL02.000621/2023-78,3124906.0,Em Análise,2023,3,31
Farias Brito,CE,Município,Operação Contratual Interna (com garantia da União),Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,4776359.94,17944.102155/2020-84,2304301.0,Em Análise,2020,7,23
Filadélfia,TO,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,3390500.0,PVL02.002792/2023-31,1707702.0,Em Análise,2023,7,26
Frei Inocêncio,MG,Município,Operação Contratual Interna,PMAT,Instituição Financeira Nacional,Banco de Desenvolvimento de Minas Gerais S/A,Real,2000000.0,PVL02.000550/2018-46,3126901.0,Em Análise,2018,3,19
Frei Inocêncio,MG,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,2000000.0,PVL02.006722/2021-91,3126901.0,Em Análise,2022,6,29
Guaimbê,SP,Município,Operação Contratual Interna,Regularização de Dívida - Energia Elétrica,Empresa Não Estatal,Companhia Paulista de Força e Luz,Real,6348.0,17944.001696/2008-08,3517307.0,Em Análise,2008,10,2
Guaratuba,PR,Município,Operação Contratual Interna,Infraestrutura,Instituição Financeira Nacional,Caixa Econômica Federal,Real,11000000.0,17944.105852/2023-30,4109609.0,Em Análise,2024,1,24
